kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.018,0.602,0.591,District,district,RBC
1 - average_daily_renewable_share_grid,1.014,0.78,0.769,District,district,RBC
1 - load_factor,0.989,0.841,0.85,District,district,RBC
1 - used_pv_of_total_share,1.154,0.17,0.147,District,district,RBC
average_daily_peak,0.986,12.936,13.114,District,district,RBC
cost,1.062,4127.542,3910.586,District,district,RBC
electricity_consumption,1.064,7531.981,7121.809,District,district,RBC
ramping,1.029,25964.437,25222.986,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.044,10183.434,9753.527,Building_10,building,RBC
cost,1.042,5580.525,5354.033,Building_10,building,RBC
1 - used_pv_of_total_share,1.151,0.191,0.166,Building_10,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.001,0.592,0.591,District,district,SAC
1 - average_daily_renewable_share_grid,0.988,0.759,0.769,District,district,SAC
1 - load_factor,0.981,0.835,0.85,District,district,SAC
1 - used_pv_of_total_share,0.855,0.127,0.147,District,district,SAC
average_daily_peak,0.928,12.166,13.114,District,district,SAC
cost,0.97,3797.161,3910.586,District,district,SAC
electricity_consumption,0.975,6957.199,7121.809,District,district,SAC
ramping,0.966,24377.032,25222.986,District,district,SAC
electricity_consumption,0.955,4324.691,4528.42,Building_3,building,SAC
cost,0.957,2472.349,2584.57,Building_3,building,SAC
1 - used_pv_of_total_share,0.872,0.151,0.173,Building_3,building,SAC
electricity_consumption,0.989,5589.067,5652.286,Building_5,building,SAC
cost,0.986,3028.983,3071.658,Building_5,building,SAC
1 - used_pv_of_total_share,0.907,0.111,0.122,Building_5,building,SAC
electricity_consumption,0.993,5501.594,5540.207,Building_7,building,SAC
cost,0.99,2911.729,2939.918,Building_7,building,SAC
1 - used_pv_of_total_share,0.946,0.205,0.216,Building_7,building,SAC
electricity_consumption,0.955,5730.684,5997.7,Building_8,building,SAC
cost,0.949,3128.018,3296.626,Building_8,building,SAC
1 - used_pv_of_total_share,0.803,0.121,0.151,Building_8,building,SAC
electricity_consumption,0.969,9449.036,9753.527,Building_10,building,SAC
